docname,topic,proportion
input_MWW.txt:6,000,1.0
input_MWW.txt:41,000,1.0
input_MWW.txt:76,009,1.0
input_MWW.txt:111,010,1.0
input_MWW.txt:146,010,1.0
input_MWW.txt:181,010,1.0
input_MWW.txt:216,010,1.0
input_MWW.txt:251,009,1.0
input_MWW.txt:286,000,1.0
input_MWW.txt:321,009,1.0
input_MWW.txt:356,005,1.0
input_MWW.txt:391,005,1.0
input_MWW.txt:426,000,0.617961
input_MWW.txt:426,001,0.245186
input_MWW.txt:426,002,0.136853
input_MWW.txt:461,002,1.0
input_MWW.txt:496,002,1.0
input_MWW.txt:526,004,1.0
input_MWW.txt:561,001,1.0
input_MWW.txt:596,001,1.0
input_MWW.txt:631,004,1.0
input_MWW.txt:666,001,1.0
input_MWW.txt:701,001,1.0
input_MWW.txt:736,009,1.0
input_MWW.txt:771,010,1.0
input_MWW.txt:806,009,1.0
input_MWW.txt:841,000,1.0
input_MWW.txt:876,000,0.617961
input_MWW.txt:876,001,0.245186
input_MWW.txt:876,002,0.136853
input_MWW.txt:911,008,1.0
input_MWW.txt:946,007,1.0
input_MWW.txt:981,002,1.0
input_MWW.txt:1016,002,1.0
input_MWW.txt:5,010,1.0
input_MWW.txt:40,000,1.0
input_MWW.txt:75,006,1.0
input_MWW.txt:110,010,1.0
input_MWW.txt:145,010,1.0
input_MWW.txt:180,010,1.0
input_MWW.txt:215,010,1.0
input_MWW.txt:250,006,1.0
input_MWW.txt:285,000,1.0
input_MWW.txt:320,000,1.0
input_MWW.txt:355,005,1.0
input_MWW.txt:390,005,1.0
input_MWW.txt:425,002,1.0
input_MWW.txt:460,003,1.0
input_MWW.txt:495,004,1.0
input_MWW.txt:525,004,1.0
input_MWW.txt:560,001,1.0
input_MWW.txt:595,000,1.0
input_MWW.txt:630,004,1.0
input_MWW.txt:665,001,1.0
input_MWW.txt:700,001,1.0
input_MWW.txt:735,013,1.0
input_MWW.txt:770,010,1.0
input_MWW.txt:805,009,1.0
input_MWW.txt:840,002,1.0
input_MWW.txt:875,002,1.0
input_MWW.txt:910,008,1.0
input_MWW.txt:945,007,1.0
input_MWW.txt:980,010,1.0
input_MWW.txt:1015,003,1.0
input_MWW.txt:17,010,1.0
input_MWW.txt:52,006,1.0
input_MWW.txt:87,002,1.0
input_MWW.txt:122,010,1.0
input_MWW.txt:157,010,1.0
input_MWW.txt:192,002,1.0
input_MWW.txt:227,010,1.0
input_MWW.txt:262,010,1.0
input_MWW.txt:297,000,1.0
input_MWW.txt:332,009,1.0
input_MWW.txt:367,005,1.0
input_MWW.txt:402,009,1.0
input_MWW.txt:437,002,1.0
input_MWW.txt:472,000,1.0
input_MWW.txt:537,004,1.0
input_MWW.txt:572,004,1.0
input_MWW.txt:607,003,1.0
input_MWW.txt:642,002,1.0
input_MWW.txt:677,001,1.0
input_MWW.txt:712,001,1.0
input_MWW.txt:747,010,1.0
input_MWW.txt:782,010,1.0
input_MWW.txt:817,002,1.0
input_MWW.txt:852,002,1.0
input_MWW.txt:887,008,1.0
input_MWW.txt:922,007,1.0
input_MWW.txt:957,004,1.0
input_MWW.txt:992,002,1.0
input_MWW.txt:29,006,1.0
input_MWW.txt:64,006,1.0
input_MWW.txt:99,010,1.0
input_MWW.txt:134,010,1.0
input_MWW.txt:169,010,1.0
input_MWW.txt:204,010,1.0
input_MWW.txt:239,000,1.0
input_MWW.txt:274,003,1.0
input_MWW.txt:309,000,0.617961
input_MWW.txt:309,001,0.245186
input_MWW.txt:309,002,0.136853
input_MWW.txt:344,005,1.0
input_MWW.txt:379,005,1.0
input_MWW.txt:414,010,1.0
input_MWW.txt:449,010,1.0
input_MWW.txt:484,002,1.0
input_MWW.txt:514,004,1.0
input_MWW.txt:549,004,1.0
input_MWW.txt:584,000,1.0
input_MWW.txt:619,001,1.0
input_MWW.txt:654,001,1.0
input_MWW.txt:689,001,1.0
input_MWW.txt:724,003,1.0
input_MWW.txt:759,010,1.0
input_MWW.txt:794,002,1.0
input_MWW.txt:829,000,1.0
input_MWW.txt:864,010,1.0
input_MWW.txt:899,008,1.0
input_MWW.txt:934,007,1.0
input_MWW.txt:969,002,1.0
input_MWW.txt:1004,002,1.0
input_MWW.txt:10,000,1.0
input_MWW.txt:45,010,1.0
input_MWW.txt:80,010,1.0
input_MWW.txt:115,010,1.0
input_MWW.txt:150,010,1.0
input_MWW.txt:185,010,1.0
input_MWW.txt:220,010,1.0
input_MWW.txt:255,005,1.0
input_MWW.txt:290,000,1.0
input_MWW.txt:325,000,1.0
input_MWW.txt:360,005,1.0
input_MWW.txt:395,010,1.0
input_MWW.txt:430,002,1.0
input_MWW.txt:465,002,1.0
input_MWW.txt:500,000,1.0
input_MWW.txt:530,004,1.0
input_MWW.txt:565,001,1.0
input_MWW.txt:600,000,1.0
input_MWW.txt:635,001,1.0
input_MWW.txt:670,001,1.0
input_MWW.txt:705,001,1.0
input_MWW.txt:740,003,1.0
input_MWW.txt:775,000,1.0
input_MWW.txt:810,002,1.0
input_MWW.txt:845,000,1.0
input_MWW.txt:880,008,1.0
input_MWW.txt:915,007,1.0
input_MWW.txt:950,002,1.0
input_MWW.txt:985,013,1.0
input_MWW.txt:22,010,1.0
input_MWW.txt:57,000,1.0
input_MWW.txt:92,004,1.0
input_MWW.txt:127,010,1.0
input_MWW.txt:162,010,1.0
input_MWW.txt:197,010,1.0
input_MWW.txt:232,010,1.0
input_MWW.txt:267,010,1.0
input_MWW.txt:302,000,1.0
input_MWW.txt:337,000,1.0
input_MWW.txt:372,009,1.0
input_MWW.txt:407,009,1.0
input_MWW.txt:442,002,1.0
input_MWW.txt:477,000,1.0
input_MWW.txt:507,000,1.0
input_MWW.txt:542,004,1.0
input_MWW.txt:577,004,1.0
input_MWW.txt:612,001,1.0
input_MWW.txt:647,001,1.0
input_MWW.txt:682,001,1.0
input_MWW.txt:717,001,1.0
input_MWW.txt:752,010,1.0
input_MWW.txt:787,010,1.0
input_MWW.txt:822,002,1.0
input_MWW.txt:857,000,1.0
input_MWW.txt:892,008,1.0
input_MWW.txt:927,007,1.0
input_MWW.txt:962,002,1.0
input_MWW.txt:997,012,1.0
input_MWW.txt:31,001,1.0
input_MWW.txt:66,000,1.0
input_MWW.txt:101,010,1.0
input_MWW.txt:136,006,1.0
input_MWW.txt:171,000,1.0
input_MWW.txt:206,010,1.0
input_MWW.txt:241,006,1.0
input_MWW.txt:276,013,1.0
input_MWW.txt:311,000,1.0
input_MWW.txt:346,005,1.0
input_MWW.txt:381,005,1.0
input_MWW.txt:416,000,1.0
input_MWW.txt:451,000,1.0
input_MWW.txt:486,002,1.0
input_MWW.txt:516,004,1.0
input_MWW.txt:551,013,1.0
input_MWW.txt:586,002,1.0
input_MWW.txt:621,004,1.0
input_MWW.txt:656,001,1.0
input_MWW.txt:691,001,1.0
input_MWW.txt:726,010,1.0
input_MWW.txt:761,006,1.0
input_MWW.txt:796,000,1.0
input_MWW.txt:831,000,1.0
input_MWW.txt:866,002,1.0
input_MWW.txt:901,008,1.0
input_MWW.txt:936,007,1.0
input_MWW.txt:971,010,1.0
input_MWW.txt:1006,005,1.0
input_MWW.txt:33,010,1.0
input_MWW.txt:68,010,1.0
input_MWW.txt:103,008,1.0
input_MWW.txt:138,001,1.0
input_MWW.txt:173,006,1.0
input_MWW.txt:208,010,1.0
input_MWW.txt:243,006,1.0
input_MWW.txt:278,009,1.0
input_MWW.txt:313,000,0.617961
input_MWW.txt:313,001,0.245186
input_MWW.txt:313,002,0.136853
input_MWW.txt:348,005,1.0
input_MWW.txt:383,005,1.0
input_MWW.txt:418,010,1.0
input_MWW.txt:453,008,1.0
input_MWW.txt:488,002,1.0
input_MWW.txt:518,004,1.0
input_MWW.txt:553,012,1.0
input_MWW.txt:588,002,1.0
input_MWW.txt:623,004,1.0
input_MWW.txt:658,001,1.0
input_MWW.txt:693,007,1.0
input_MWW.txt:728,013,1.0
input_MWW.txt:763,010,1.0
input_MWW.txt:798,010,1.0
input_MWW.txt:833,000,1.0
input_MWW.txt:868,009,1.0
input_MWW.txt:903,008,1.0
input_MWW.txt:938,007,1.0
input_MWW.txt:973,002,1.0
input_MWW.txt:1008,012,1.0
input_MWW.txt:21,006,1.0
input_MWW.txt:56,000,1.0
input_MWW.txt:91,010,1.0
input_MWW.txt:126,010,1.0
input_MWW.txt:161,002,1.0
input_MWW.txt:196,010,1.0
input_MWW.txt:231,010,1.0
input_MWW.txt:266,010,1.0
input_MWW.txt:301,002,1.0
input_MWW.txt:336,010,1.0
input_MWW.txt:371,005,1.0
input_MWW.txt:406,009,1.0
input_MWW.txt:441,002,1.0
input_MWW.txt:476,010,1.0
input_MWW.txt:506,004,1.0
input_MWW.txt:541,004,1.0
input_MWW.txt:576,004,1.0
input_MWW.txt:611,000,1.0
input_MWW.txt:646,001,1.0
input_MWW.txt:681,001,1.0
input_MWW.txt:716,001,1.0
input_MWW.txt:751,002,1.0
input_MWW.txt:786,000,1.0
input_MWW.txt:821,013,1.0
input_MWW.txt:856,000,1.0
input_MWW.txt:891,008,1.0
input_MWW.txt:926,007,1.0
input_MWW.txt:961,013,1.0
input_MWW.txt:996,010,1.0
input_MWW.txt:19,010,1.0
input_MWW.txt:54,003,1.0
input_MWW.txt:89,006,1.0
input_MWW.txt:124,010,1.0
input_MWW.txt:159,010,1.0
input_MWW.txt:194,002,1.0
input_MWW.txt:229,010,1.0
input_MWW.txt:264,010,1.0
input_MWW.txt:299,000,1.0
input_MWW.txt:334,005,1.0
input_MWW.txt:369,005,1.0
input_MWW.txt:404,009,1.0
input_MWW.txt:439,000,0.617961
input_MWW.txt:439,001,0.245186
input_MWW.txt:439,002,0.136853
input_MWW.txt:474,002,1.0
input_MWW.txt:539,004,1.0
input_MWW.txt:574,004,1.0
input_MWW.txt:609,000,1.0
input_MWW.txt:644,013,1.0
input_MWW.txt:679,001,1.0
input_MWW.txt:714,001,1.0
input_MWW.txt:749,010,1.0
input_MWW.txt:784,002,1.0
input_MWW.txt:819,002,1.0
input_MWW.txt:854,000,1.0
input_MWW.txt:889,013,1.0
input_MWW.txt:924,007,1.0
input_MWW.txt:959,010,1.0
input_MWW.txt:994,003,1.0
input_MWW.txt:12,009,1.0
input_MWW.txt:47,000,1.0
input_MWW.txt:82,006,1.0
input_MWW.txt:117,010,1.0
input_MWW.txt:152,010,1.0
input_MWW.txt:187,010,1.0
input_MWW.txt:222,010,1.0
input_MWW.txt:257,010,1.0
input_MWW.txt:292,000,1.0
input_MWW.txt:327,006,1.0
input_MWW.txt:362,005,1.0
input_MWW.txt:397,009,1.0
input_MWW.txt:432,002,1.0
input_MWW.txt:467,002,1.0
input_MWW.txt:502,001,1.0
input_MWW.txt:532,001,1.0
input_MWW.txt:567,004,1.0
input_MWW.txt:602,001,1.0
input_MWW.txt:637,006,1.0
input_MWW.txt:672,010,1.0
input_MWW.txt:707,001,1.0
input_MWW.txt:742,013,1.0
input_MWW.txt:777,002,1.0
input_MWW.txt:812,002,1.0
input_MWW.txt:847,010,1.0
input_MWW.txt:882,008,1.0
input_MWW.txt:917,007,1.0
input_MWW.txt:952,010,1.0
input_MWW.txt:987,012,1.0
input_MWW.txt:9,010,1.0
input_MWW.txt:44,000,1.0
input_MWW.txt:79,006,1.0
input_MWW.txt:114,010,1.0
input_MWW.txt:149,010,1.0
input_MWW.txt:184,010,1.0
input_MWW.txt:219,000,1.0
input_MWW.txt:254,002,1.0
input_MWW.txt:289,000,1.0
input_MWW.txt:324,000,1.0
input_MWW.txt:359,005,1.0
input_MWW.txt:394,010,1.0
input_MWW.txt:429,002,1.0
input_MWW.txt:464,003,1.0
input_MWW.txt:499,001,1.0
input_MWW.txt:529,001,1.0
input_MWW.txt:564,001,1.0
input_MWW.txt:599,001,1.0
input_MWW.txt:634,001,1.0
input_MWW.txt:669,001,1.0
input_MWW.txt:704,001,1.0
input_MWW.txt:739,013,1.0
input_MWW.txt:774,000,1.0
input_MWW.txt:809,011,1.0
input_MWW.txt:844,000,1.0
input_MWW.txt:879,008,1.0
input_MWW.txt:914,007,1.0
input_MWW.txt:949,007,1.0
input_MWW.txt:984,010,1.0
input_MWW.txt:1019,009,1.0
input_MWW.txt:2,004,1.0
input_MWW.txt:37,006,1.0
input_MWW.txt:72,010,1.0
input_MWW.txt:107,010,1.0
input_MWW.txt:142,010,1.0
input_MWW.txt:177,010,1.0
input_MWW.txt:212,010,1.0
input_MWW.txt:247,002,1.0
input_MWW.txt:282,000,1.0
input_MWW.txt:317,000,1.0
input_MWW.txt:352,005,1.0
input_MWW.txt:387,005,1.0
input_MWW.txt:422,002,1.0
input_MWW.txt:457,011,1.0
input_MWW.txt:492,002,1.0
input_MWW.txt:522,004,1.0
input_MWW.txt:557,004,1.0
input_MWW.txt:592,004,1.0
input_MWW.txt:627,004,1.0
input_MWW.txt:662,013,1.0
input_MWW.txt:697,001,1.0
input_MWW.txt:732,011,1.0
input_MWW.txt:767,010,1.0
input_MWW.txt:802,013,1.0
input_MWW.txt:837,000,1.0
input_MWW.txt:872,011,1.0
input_MWW.txt:907,008,1.0
input_MWW.txt:942,007,1.0
input_MWW.txt:977,010,1.0
input_MWW.txt:1012,000,1.0
input_MWW.txt:24,010,1.0
input_MWW.txt:59,000,1.0
input_MWW.txt:94,010,1.0
input_MWW.txt:129,010,1.0
input_MWW.txt:164,002,1.0
input_MWW.txt:199,010,1.0
input_MWW.txt:234,006,1.0
input_MWW.txt:269,009,1.0
input_MWW.txt:304,011,1.0
input_MWW.txt:339,001,1.0
input_MWW.txt:374,002,1.0
input_MWW.txt:409,013,1.0
input_MWW.txt:444,002,1.0
input_MWW.txt:479,010,1.0
input_MWW.txt:509,002,1.0
input_MWW.txt:544,001,1.0
input_MWW.txt:579,004,1.0
input_MWW.txt:614,001,1.0
input_MWW.txt:649,002,1.0
input_MWW.txt:684,001,1.0
input_MWW.txt:719,008,1.0
input_MWW.txt:754,003,1.0
input_MWW.txt:789,013,1.0
input_MWW.txt:824,004,1.0
input_MWW.txt:859,000,1.0
input_MWW.txt:894,008,1.0
input_MWW.txt:929,007,1.0
input_MWW.txt:964,002,1.0
input_MWW.txt:999,003,1.0
input_MWW.txt:18,010,1.0
input_MWW.txt:53,000,1.0
input_MWW.txt:88,010,1.0
input_MWW.txt:123,010,1.0
input_MWW.txt:158,002,1.0
input_MWW.txt:193,002,1.0
input_MWW.txt:228,010,1.0
input_MWW.txt:263,004,1.0
input_MWW.txt:298,000,1.0
input_MWW.txt:333,005,1.0
input_MWW.txt:368,005,1.0
input_MWW.txt:403,013,1.0
input_MWW.txt:438,002,1.0
input_MWW.txt:473,001,1.0
input_MWW.txt:538,008,1.0
input_MWW.txt:573,001,1.0
input_MWW.txt:608,014,1.0
input_MWW.txt:643,001,1.0
input_MWW.txt:678,001,1.0
input_MWW.txt:713,001,1.0
input_MWW.txt:748,010,1.0
input_MWW.txt:783,000,1.0
input_MWW.txt:818,002,1.0
input_MWW.txt:853,000,1.0
input_MWW.txt:888,008,1.0
input_MWW.txt:923,007,1.0
input_MWW.txt:958,013,1.0
input_MWW.txt:993,003,1.0
input_MWW.txt:11,000,1.0
input_MWW.txt:46,000,1.0
input_MWW.txt:81,002,1.0
input_MWW.txt:116,002,1.0
input_MWW.txt:151,010,1.0
input_MWW.txt:186,010,1.0
input_MWW.txt:221,010,1.0
input_MWW.txt:256,004,1.0
input_MWW.txt:291,006,1.0
input_MWW.txt:326,000,1.0
input_MWW.txt:361,000,0.617961
input_MWW.txt:361,001,0.245186
input_MWW.txt:361,002,0.136853
input_MWW.txt:396,010,1.0
input_MWW.txt:431,002,1.0
input_MWW.txt:466,002,1.0
input_MWW.txt:501,001,1.0
input_MWW.txt:531,004,1.0
input_MWW.txt:566,000,1.0
input_MWW.txt:601,002,1.0
input_MWW.txt:636,001,1.0
input_MWW.txt:671,001,1.0
input_MWW.txt:706,001,1.0
input_MWW.txt:741,000,1.0
input_MWW.txt:776,010,1.0
input_MWW.txt:811,004,1.0
input_MWW.txt:846,000,1.0
input_MWW.txt:881,013,1.0
input_MWW.txt:916,007,1.0
input_MWW.txt:951,004,1.0
input_MWW.txt:986,010,1.0
input_MWW.txt:0,006,1.0
input_MWW.txt:35,010,1.0
input_MWW.txt:70,010,1.0
input_MWW.txt:105,010,1.0
input_MWW.txt:140,010,1.0
input_MWW.txt:175,010,1.0
input_MWW.txt:210,010,1.0
input_MWW.txt:245,000,1.0
input_MWW.txt:280,009,1.0
input_MWW.txt:315,006,1.0
input_MWW.txt:350,005,1.0
input_MWW.txt:385,005,1.0
input_MWW.txt:420,013,1.0
input_MWW.txt:455,002,1.0
input_MWW.txt:490,004,1.0
input_MWW.txt:520,004,1.0
input_MWW.txt:555,001,1.0
input_MWW.txt:590,004,1.0
input_MWW.txt:625,004,1.0
input_MWW.txt:660,001,1.0
input_MWW.txt:695,002,1.0
input_MWW.txt:730,013,1.0
input_MWW.txt:765,002,1.0
input_MWW.txt:800,013,1.0
input_MWW.txt:835,004,1.0
input_MWW.txt:870,010,1.0
input_MWW.txt:905,008,1.0
input_MWW.txt:940,007,1.0
input_MWW.txt:975,010,1.0
input_MWW.txt:1010,002,1.0
input_MWW.txt:8,010,1.0
input_MWW.txt:43,000,1.0
input_MWW.txt:78,006,1.0
input_MWW.txt:113,010,1.0
input_MWW.txt:148,010,1.0
input_MWW.txt:183,010,1.0
input_MWW.txt:218,010,1.0
input_MWW.txt:253,009,1.0
input_MWW.txt:288,000,1.0
input_MWW.txt:323,000,1.0
input_MWW.txt:358,005,1.0
input_MWW.txt:393,005,1.0
input_MWW.txt:428,002,1.0
input_MWW.txt:463,002,1.0
input_MWW.txt:498,002,1.0
input_MWW.txt:528,004,1.0
input_MWW.txt:563,001,1.0
input_MWW.txt:598,000,1.0
input_MWW.txt:633,006,1.0
input_MWW.txt:668,001,1.0
input_MWW.txt:703,002,1.0
input_MWW.txt:738,013,1.0
input_MWW.txt:773,010,1.0
input_MWW.txt:808,011,1.0
input_MWW.txt:843,000,1.0
input_MWW.txt:878,008,1.0
input_MWW.txt:913,008,1.0
input_MWW.txt:948,010,1.0
input_MWW.txt:983,012,1.0
input_MWW.txt:1018,002,1.0
input_MWW.txt:13,010,1.0
input_MWW.txt:48,000,1.0
input_MWW.txt:83,002,1.0
input_MWW.txt:118,010,1.0
