topic,term,weight
000,drink,0.07284971
000,beer,0.031743575
000,water,0.030530632
000,girl,0.037487663
000,table,0.022387655
000,prove,0.020138612
000,put,0.02015983
000,glass,0.017595928
000,löwen,0.014900081
000,colleague's,0.014900043
001,jack,0.21968079
001,john,0.096946344
001,walcott,0.047974672
001,boy,0.034360398
001,feel,0.03171544
001,friend,0.022899708
001,morgan,0.020294396
001,hell,0.024323478
001,couple,0.017167427
001,ask,0.025195211
002,time,0.072402075
002,guy,0.053652365
002,eat,0.052028216
002,long,0.04528866
002,afterward,0.02454449
002,ask,0.032600187
002,make,0.022829615
002,early,0.0204642
002,night,0.02587651
002,zurito,0.020090446
003,talk,0.10517573
003,marry,0.05344315
003,funny,0.035161156
003,signor,0.037671737
003,hear,0.029348318
003,waiter,0.02489232
003,sheet,0.027849039
003,tenente,0.022649977
003,hell,0.026531938
003,carl,0.021679899
004,hogan,0.1577451
004,paper,0.034258015
004,sparrow,0.030950429
004,ask,0.03814312
004,sit,0.025639588
004,office,0.019236887
004,porch,0.01894827
004,hell,0.025971172
004,cold,0.01835646
004,soldier,0.018531209
005,boy,0.1477497
005,bright,0.1415466
005,max,0.08349355
005,nigger,0.060539395
005,george,0.06185462
005,cook,0.035897497
005,talk,0.048494544
005,movie,0.03208894
005,kitchen,0.027464805
005,counter,0.020986648
006,good,0.1633819
006,feel,0.1096432
006,how's,0.045553926
006,thing,0.0557375
006,girl,0.048747856
006,night,0.032585703
006,woman,0.02493052
006,ask,0.03424625
006,stay,0.023732066
006,keep,0.018004524
007,soldier_,0.22786342
007,_1st,0.11445247
007,_2d,0.105056815
007,roman,0.0809912
007,_3d,0.04712024
007,cross,0.030739574
007,day,0.028302975
007,george,0.03425196
007,round,0.023120489
007,pretty,0.02812432
008,campbell,0.117885716
008,william,0.10923435
008,sheet,0.09396237
008,turner,0.0851914
008,slide,0.07419663
008,billy,0.07182805
008,cure,0.030309986
008,mistake,0.02515487
008,love,0.039221294
008,look,0.030701445
009,look,0.16261889
009,wall,0.12218027
009,andreson,0.08387483
009,fix,0.05203889
009,come,0.042873695
009,talk,0.053421903
009,bluff,0.02885295
009,bag,0.02804719
009,corrupt,0.01954182
009,major,0.020900445
010,retana,0.036272235
010,hernandez,0.023312908
010,thing,0.037392613
010,george,0.030986985
010,bull,0.018270666
010,shout,0.01812024
010,carl,0.021460634
010,frank,0.017779889
010,girl,0.030625455
010,zurito,0.01805874
011,love,0.23891546
011,worry,0.1375568
011,girl,0.088745564
011,signor,0.0683392
011,maggiore,0.046470415
011,lady,0.039023776
011,perfectly,0.03272538
011,simple,0.030349098
011,tell,0.029449094
011,thing,0.039658006
012,sleep,0.3890719
012,matt,0.12861381
012,take,0.07861381
012,worry,0.0744919
012,jerry,0.0563681
012,bad,0.052125048
012,marry,0.03719566
012,idea,0.056395605
012,night,0.028936738
012,year,0.013218363
013,lie,0.22958416
013,room,0.14667697
013,happy,0.11877425
013,thing,0.10080788
013,life,0.07041975
013,nick,0.058115914
013,bed,0.042835444
013,back,0.024223551
013,hear,0.027116034
013,open,0.016502168
014,idea,0.38112995
014,jack,0.28901854
014,wife,0.2452087
014,nigger,0.031012401
014,cook,0.026279403
014,american,0.013296383
014,town,0.004900315
014,jerry,0.009154312
