docname,topic,proportion
input_SAR.txt:20,011,1.0
input_SAR.txt:55,004,1.0
input_SAR.txt:90,004,1.0
input_SAR.txt:125,009,1.0
input_SAR.txt:160,004,1.0
input_SAR.txt:195,004,1.0
input_SAR.txt:230,000,1.0
input_SAR.txt:265,003,1.0
input_SAR.txt:300,010,1.0
input_SAR.txt:335,004,1.0
input_SAR.txt:370,004,1.0
input_SAR.txt:405,009,1.0
input_SAR.txt:440,003,1.0
input_SAR.txt:475,004,1.0
input_SAR.txt:510,004,1.0
input_SAR.txt:545,008,1.0
input_SAR.txt:580,007,1.0
input_SAR.txt:615,002,1.0
input_SAR.txt:650,005,1.0
input_SAR.txt:685,004,1.0
input_SAR.txt:720,004,1.0
input_SAR.txt:755,004,1.0
input_SAR.txt:790,004,1.0
input_SAR.txt:825,001,1.0
input_SAR.txt:855,006,1.0
input_SAR.txt:890,002,1.0
input_SAR.txt:925,007,1.0
input_SAR.txt:960,010,1.0
input_SAR.txt:995,001,1.0
input_SAR.txt:1030,000,1.0
input_SAR.txt:1065,004,1.0
input_SAR.txt:1100,009,1.0
input_SAR.txt:1135,000,1.0
input_SAR.txt:1170,007,1.0
input_SAR.txt:1205,000,1.0
input_SAR.txt:1240,000,1.0
input_SAR.txt:1275,001,1.0
input_SAR.txt:1310,000,1.0
input_SAR.txt:1345,000,1.0
input_SAR.txt:1380,000,1.0
input_SAR.txt:1415,001,1.0
input_SAR.txt:1450,004,1.0
input_SAR.txt:1485,004,1.0
input_SAR.txt:1520,003,1.0
input_SAR.txt:1555,000,1.0
input_SAR.txt:1590,004,1.0
input_SAR.txt:1625,000,1.0
input_SAR.txt:1660,013,1.0
input_SAR.txt:18,008,1.0
input_SAR.txt:53,000,1.0
input_SAR.txt:88,001,1.0
input_SAR.txt:123,004,1.0
input_SAR.txt:158,001,1.0
input_SAR.txt:193,004,1.0
input_SAR.txt:228,002,1.0
input_SAR.txt:263,002,1.0
input_SAR.txt:298,010,1.0
input_SAR.txt:333,009,1.0
input_SAR.txt:368,004,1.0
input_SAR.txt:403,009,1.0
input_SAR.txt:438,005,1.0
input_SAR.txt:473,001,1.0
input_SAR.txt:508,009,1.0
input_SAR.txt:543,005,1.0
input_SAR.txt:578,001,1.0
input_SAR.txt:613,002,1.0
input_SAR.txt:648,000,1.0
input_SAR.txt:683,004,1.0
input_SAR.txt:718,004,1.0
input_SAR.txt:753,004,1.0
input_SAR.txt:788,012,1.0
input_SAR.txt:823,001,1.0
input_SAR.txt:888,006,1.0
input_SAR.txt:923,004,1.0
input_SAR.txt:958,004,1.0
input_SAR.txt:993,003,1.0
input_SAR.txt:1028,004,1.0
input_SAR.txt:1063,000,1.0
input_SAR.txt:1098,002,1.0
input_SAR.txt:1133,004,1.0
input_SAR.txt:1168,003,1.0
input_SAR.txt:1203,000,1.0
input_SAR.txt:1238,003,1.0
input_SAR.txt:1273,001,1.0
input_SAR.txt:1308,000,1.0
