topic,term,weight
000,sit,0.056135345
000,table,0.040295545
000,hell,0.03505204
000,shut,0.021628777
000,stand,0.02341815
000,café,0.017171027
000,bed,0.014858654
000,tight,0.017777104
000,people,0.018378593
000,parc,0.013772469
001,back,0.070827864
001,walk,0.055817176
001,turn,0.020047469
001,san,0.018809466
001,sebastian,0.018816525
001,street,0.017245945
001,park,0.014969404
001,corner,0.015326794
001,taxi,0.014969916
001,cold,0.014097567
002,cohn,0.11584904
002,robert,0.05528821
002,bring,0.04202992
002,start,0.0379649
002,think,0.024010172
002,bore,0.013105549
002,come,0.013000424
002,behave,0.011862327
002,cross,0.010936069
002,bill,0.01277735
003,people,0.059860703
003,lot,0.04880896
003,sort,0.034975037
003,thing,0.03938151
003,table,0.029353721
003,nice,0.0170978
003,tell,0.014090722
003,waiter,0.012904324
003,like,0.011420436
003,money,0.013960296
004,ask,0.07009924
004,start,0.014461077
004,look,0.010458194
004,damn,0.009941053
004,bed,0.0059754825
004,put,0.005540106
004,head,0.0055633006
004,runway,0.0048082783
004,bum,0.0040295823
004,knock,0.00444554
005,jake,0.07746224
005,friend,0.07000158
005,stand,0.031578008
005,england,0.027371613
005,long,0.030287635
005,forgive,0.02206026
005,brett,0.037172437
005,ridiculous,0.019647809
005,make,0.028279113
005,cohn,0.023537375
006,time,0.09502467
006,remember,0.0892436
006,long,0.036621854
006,bad,0.036689784
006,date,0.025556741
006,lilas,0.020942025
006,day,0.02112213
006,stay,0.0155514
006,harris,0.015456832
006,kid,0.013726989
007,bull,0.19987196
007,fighter,0.107324876
007,fight,0.06539848
007,romero,0.03218195
007,ring,0.018898113
007,crowd,0.019042196
007,good,0.018103242
007,watch,0.016232774
007,steer,0.019095873
007,cape,0.013177926
008,make,0.11678392
008,difference,0.06772851
008,friend,0.06786986
008,steer,0.04298674
008,give,0.030857302
008,hundred,0.027990073
008,girl,0.026760291
008,money,0.026313229
008,sick,0.024009967
008,oughtn't,0.019785885
009,brett,0.21515691
009,count,0.06788174
009,ask,0.07059041
009,dance,0.04208971
009,joke,0.03741876
009,girl,0.029119976
009,matt,0.028492654
009,stand,0.027159166
009,laugh,0.01981756
009,value,0.017948847
010,marry,0.11815777
010,love,0.08812438
010,she's,0.07991275
010,back,0.043261282
010,want,0.034203526
010,think,0.03160874
010,year,0.023106024
010,live,0.022662919
010,true,0.019946178
010,value,0.018974084
011,morrow,0.12014791
011,fool,0.07063226
011,back,0.054508388
011,ask,0.06241732
011,count,0.033154603
011,joke,0.028507268
011,rotten,0.024398008
011,office,0.0233351
011,time,0.02990071
011,absinthe,0.017869616
012,drink,0.28381765
012,wine,0.10210967
012,bottle,0.050157074
012,bathe,0.031788856
012,dear,0.033268496
012,send,0.023781354
012,hurry,0.021364426
012,count,0.026242733
012,charm,0.018681161
012,america,0.019275596
013,eat,0.29740855
013,desk,0.09532718
013,hurry,0.045216784
013,stair,0.02964126
013,drink,0.062146682
013,bill,0.029302333
013,story,0.022720238
013,harvey,0.025228083
013,travel,0.020540321
013,service,0.016482797
014,talk,0.33739132
014,hell,0.1799484
014,lose,0.03765189
014,think,0.041551445
014,feel,0.036174234
014,idea,0.026338838
014,agree,0.024020966
014,suppose,0.02537793
014,shut,0.02229311
014,spanish,0.017582979
015,remember,0.35080054
015,drink,0.24024716
015,time,0.06937591
015,perfectly,0.052485522
015,write,0.04309384
015,card,0.03315325
015,bad,0.025627239
015,date,0.017448887
015,read,0.014631671
015,dear,0.015987163
016,wine,0.28414142
016,eye,0.20424564
016,cock,0.16548187
016,bottle,0.054676022
016,glass,0.037219014
016,look,0.023008522
016,lean,0.013370608
016,pay,0.01237872
016,smile,0.013466181
016,joke,0.013500339
017,american,0.31143424
017,flamand,0.13045722
017,montoya,0.085832655
017,south,0.0492255
017,real,0.0427746
017,algabeno,0.040340096
017,smile,0.0410536
017,paris,0.035254575
017,ambassador,0.027416367
017,absolutely,0.023223424
018,mike,0.36548764
018,pub,0.19260871
018,ask,0.18624218
018,worm,0.089869246
018,bottle,0.06191291
018,lunch,0.045959763
018,dead,0.043468993
018,stand,0.014450569
019,thing,0.13290438
019,morrow,0.10407405
019,feel,0.07666268
019,walk,0.067839466
019,robert,0.06033383
019,fighter,0.048634905
019,tight,0.043055285
019,turn,0.031935576
019,darling,0.028155673
019,cock,0.03594296
