docname,topic,proportion
input_SAR.txt:20,001,1.0
input_SAR.txt:55,000,1.0
input_SAR.txt:90,000,1.0
input_SAR.txt:125,007,1.0
input_SAR.txt:160,000,1.0
input_SAR.txt:195,000,1.0
input_SAR.txt:230,002,1.0
input_SAR.txt:265,000,1.0
input_SAR.txt:300,004,1.0
input_SAR.txt:335,000,1.0
input_SAR.txt:370,000,1.0
input_SAR.txt:405,000,1.0
input_SAR.txt:440,000,1.0
input_SAR.txt:475,001,1.0
input_SAR.txt:510,004,1.0
input_SAR.txt:545,002,1.0
input_SAR.txt:580,005,1.0
input_SAR.txt:615,002,1.0
input_SAR.txt:650,002,1.0
input_SAR.txt:685,000,1.0
input_SAR.txt:720,000,1.0
input_SAR.txt:755,000,1.0
input_SAR.txt:790,011,1.0
input_SAR.txt:825,000,1.0
input_SAR.txt:855,001,1.0
input_SAR.txt:890,002,1.0
input_SAR.txt:925,005,1.0
input_SAR.txt:960,004,1.0
input_SAR.txt:995,001,1.0
input_SAR.txt:1030,000,1.0
input_SAR.txt:1065,005,1.0
input_SAR.txt:1100,004,1.0
input_SAR.txt:1135,000,1.0
input_SAR.txt:1170,005,1.0
input_SAR.txt:1205,000,1.0
input_SAR.txt:1240,000,1.0
input_SAR.txt:1275,000,1.0
input_SAR.txt:1310,000,1.0
input_SAR.txt:1345,000,1.0
input_SAR.txt:1380,005,1.0
input_SAR.txt:1415,001,1.0
input_SAR.txt:1450,000,1.0
input_SAR.txt:1485,005,1.0
input_SAR.txt:1520,002,1.0
input_SAR.txt:1555,005,1.0
input_SAR.txt:1590,001,1.0
input_SAR.txt:1625,004,1.0
input_SAR.txt:1660,008,1.0
input_SAR.txt:24,003,1.0
input_SAR.txt:59,011,1.0
input_SAR.txt:94,000,1.0
input_SAR.txt:129,001,1.0
input_SAR.txt:164,000,1.0
input_SAR.txt:199,004,1.0
input_SAR.txt:234,004,1.0
input_SAR.txt:269,000,1.0
input_SAR.txt:304,000,1.0
input_SAR.txt:339,012,1.0
input_SAR.txt:374,001,1.0
input_SAR.txt:409,001,1.0
input_SAR.txt:444,012,1.0
input_SAR.txt:479,001,1.0
input_SAR.txt:514,005,1.0
input_SAR.txt:549,001,1.0
input_SAR.txt:584,001,1.0
input_SAR.txt:619,000,1.0
input_SAR.txt:654,001,1.0
input_SAR.txt:689,001,1.0
input_SAR.txt:724,000,1.0
input_SAR.txt:759,001,1.0
input_SAR.txt:794,011,1.0
input_SAR.txt:829,001,1.0
input_SAR.txt:859,000,1.0
input_SAR.txt:894,011,1.0
input_SAR.txt:929,005,1.0
input_SAR.txt:964,005,1.0
input_SAR.txt:999,002,1.0
input_SAR.txt:1034,001,1.0
input_SAR.txt:1069,009,1.0
input_SAR.txt:1104,002,1.0
input_SAR.txt:1139,005,1.0
input_SAR.txt:1174,002,1.0
input_SAR.txt:1209,004,1.0
input_SAR.txt:1244,000,1.0
input_SAR.txt:1279,000,1.0
input_SAR.txt:1314,000,1.0
input_SAR.txt:1349,000,1.0
input_SAR.txt:1384,003,1.0
input_SAR.txt:1419,005,1.0
input_SAR.txt:1454,005,1.0
input_SAR.txt:1489,005,1.0
input_SAR.txt:1524,000,1.0
input_SAR.txt:1559,002,1.0
input_SAR.txt:1594,000,1.0
input_SAR.txt:1629,004,1.0
input_SAR.txt:1664,006,1.0
input_SAR.txt:26,004,1.0
input_SAR.txt:61,001,1.0
input_SAR.txt:96,000,1.0
input_SAR.txt:131,000,1.0
input_SAR.txt:166,012,1.0
input_SAR.txt:201,000,1.0
input_SAR.txt:236,002,1.0
input_SAR.txt:271,002,1.0
input_SAR.txt:306,003,1.0
input_SAR.txt:341,000,1.0
input_SAR.txt:376,006,1.0
input_SAR.txt:411,000,1.0
input_SAR.txt:446,000,1.0
input_SAR.txt:481,000,1.0
input_SAR.txt:516,004,1.0
input_SAR.txt:551,008,1.0
input_SAR.txt:586,001,1.0
input_SAR.txt:621,004,1.0
input_SAR.txt:656,001,1.0
input_SAR.txt:691,000,0.784423
input_SAR.txt:691,001,0.215577
input_SAR.txt:726,000,1.0
input_SAR.txt:761,001,1.0
input_SAR.txt:796,006,1.0
input_SAR.txt:831,005,1.0
input_SAR.txt:861,000,1.0
input_SAR.txt:896,011,1.0
input_SAR.txt:931,002,1.0
input_SAR.txt:966,000,1.0
input_SAR.txt:1001,001,1.0
input_SAR.txt:1036,002,1.0
input_SAR.txt:1071,000,1.0
input_SAR.txt:1106,005,1.0
input_SAR.txt:1141,000,1.0
input_SAR.txt:1176,000,1.0
input_SAR.txt:1211,010,1.0
input_SAR.txt:1246,000,1.0
input_SAR.txt:1281,005,1.0
input_SAR.txt:1316,000,1.0
input_SAR.txt:1351,005,1.0
input_SAR.txt:1386,000,1.0
input_SAR.txt:1421,002,1.0
input_SAR.txt:1456,005,1.0
input_SAR.txt:1491,005,1.0
input_SAR.txt:1526,008,1.0
input_SAR.txt:1561,003,1.0
input_SAR.txt:1596,000,1.0
input_SAR.txt:1631,000,1.0
input_SAR.txt:1666,007,1.0
input_SAR.txt:34,002,1.0
input_SAR.txt:69,001,1.0
input_SAR.txt:104,001,1.0
input_SAR.txt:139,000,1.0
input_SAR.txt:174,000,1.0
input_SAR.txt:209,000,1.0
input_SAR.txt:244,002,1.0
input_SAR.txt:279,001,1.0
input_SAR.txt:314,002,1.0
input_SAR.txt:349,003,1.0
input_SAR.txt:384,006,1.0
input_SAR.txt:419,000,1.0
input_SAR.txt:454,008,1.0
input_SAR.txt:489,008,1.0
input_SAR.txt:524,005,1.0
input_SAR.txt:559,001,1.0
input_SAR.txt:594,001,1.0
input_SAR.txt:629,000,1.0
input_SAR.txt:664,000,1.0
input_SAR.txt:699,001,1.0
input_SAR.txt:734,011,1.0
input_SAR.txt:769,001,1.0
input_SAR.txt:804,000,1.0
input_SAR.txt:839,001,1.0
input_SAR.txt:869,005,1.0
input_SAR.txt:904,004,1.0
input_SAR.txt:939,002,1.0
input_SAR.txt:974,008,1.0
input_SAR.txt:1009,000,1.0
input_SAR.txt:1044,000,1.0
input_SAR.txt:1079,000,1.0
input_SAR.txt:1114,005,1.0
input_SAR.txt:1149,005,1.0
input_SAR.txt:1184,002,1.0
input_SAR.txt:1219,000,1.0
input_SAR.txt:1254,000,1.0
input_SAR.txt:1289,001,1.0
input_SAR.txt:1324,001,1.0
input_SAR.txt:1359,000,1.0
input_SAR.txt:1394,002,1.0
input_SAR.txt:1429,000,1.0
input_SAR.txt:1464,005,1.0
input_SAR.txt:1499,008,1.0
input_SAR.txt:1534,001,1.0
