topic,term,weight
000,sit,0.032186754
000,table,0.027887115
000,hand,0.01910191
000,look,0.018991016
000,romero,0.014920793
000,bed,0.012758217
000,room,0.014075643
000,shake,0.011219147
000,head,0.011643104
000,stand,0.018870872
001,back,0.058610037
001,walk,0.0465803
001,ask,0.03436623
001,morrow,0.024842184
001,street,0.018133916
001,san,0.015310204
001,sebastian,0.014647502
001,café,0.015532647
001,taxi,0.013379959
001,night,0.0160498
002,cohn,0.10299246
002,robert,0.051261496
002,bring,0.032268945
002,start,0.029545382
002,mike,0.031566128
002,ask,0.028024578
002,bill,0.015831098
002,sit,0.017090721
002,brett,0.022680081
002,suppose,0.011474068
003,make,0.09373175
003,difference,0.048634037
003,friend,0.055007085
003,steer,0.030567601
003,money,0.026887823
003,give,0.027975678
003,sick,0.025581855
003,hundred,0.023265682
003,girl,0.021648891
003,frances,0.019804856
004,marry,0.079884075
004,love,0.06444315
004,she's,0.060359582
004,mike,0.046796463
004,ashley,0.016870746
004,write,0.018986661
004,back,0.025010154
004,friend,0.03491144
004,want,0.01670441
004,steer,0.017540405
005,bull,0.19776323
005,fighter,0.10554877
005,fight,0.06285721
005,romero,0.03386346
005,crowd,0.01936714
005,ring,0.018861728
005,watch,0.016593086
005,good,0.017673459
005,steer,0.018090544
005,cape,0.013100392
006,drink,0.27135143
006,wine,0.11305157
006,bottle,0.049664646
006,dear,0.032939028
006,bathe,0.02953145
006,send,0.020063294
006,cock,0.027429951
006,make,0.027434127
006,charm,0.017460419
006,glass,0.020386657
007,count,0.120175384
007,ask,0.094791844
007,stand,0.08101674
007,matt,0.06569232
007,dance,0.060227983
007,brett,0.055786125
007,laugh,0.04529561
007,thing,0.06110519
007,feel,0.038896997
007,girl,0.022593372
008,eat,0.28675452
008,desk,0.09022282
008,hurry,0.043980926
008,stair,0.032775953
008,story,0.022364486
008,travel,0.02055759
008,meal,0.018826677
008,harvey,0.021615762
008,hungry,0.016720194
008,drink,0.0575888
009,wine,0.21376435
009,eye,0.14398718
009,cock,0.12078503
009,bottle,0.05025036
009,glass,0.03095306
009,marry,0.036088217
009,she's,0.03010151
009,look,0.01962425
009,start,0.018064808
009,think,0.023012536
010,talk,0.33138072
010,hell,0.17486374
010,lose,0.036729183
010,think,0.038874507
010,idea,0.025934337
010,agree,0.023239998
010,suppose,0.023821393
010,shut,0.02222565
010,lot,0.024430964
010,spanish,0.018784465
011,hell,0.050254557
011,brett,0.043768745
011,marry,0.030925246
011,bring,0.022871984
011,table,0.021350805
011,edna,0.018022923
011,fiesta,0.015673565
011,montoya,0.016213948
011,office,0.015095842
011,year,0.0123839015
012,remember,0.30142137
012,drink,0.21391001
012,time,0.122677706
012,perfectly,0.03790945
012,bad,0.037761793
012,write,0.030793417
012,date,0.028036451
012,card,0.023644762
012,wonderful,0.02087401
012,long,0.01995445
013,thing,0.22942942
013,feel,0.19856153
013,damn,0.15080194
013,bad,0.07189551
013,mike,0.059013933
013,eat,0.066438384
013,tight,0.04230337
013,awful,0.03691851
013,night,0.028548032
013,think,0.03147894
014,friend,0.18393439
014,jake,0.09483399
014,joke,0.048520274
014,ridiculous,0.034728657
014,braddocks,0.03460067
014,england,0.030994218
014,back,0.03793794
014,cohn,0.038675547
014,iruña,0.02752999
014,rain,0.025990935
