docname,topic,proportion
Sample.txt:26,000,0.452374
Sample.txt:26,002,0.246983
Sample.txt:26,005,0.229229
Sample.txt:26,007,0.071414
Sample.txt:61,007,0.552075
Sample.txt:61,000,0.257135
Sample.txt:61,002,0.098553
Sample.txt:61,003,0.092236
Sample.txt:96,001,1.0
Sample.txt:131,000,0.883677
Sample.txt:131,004,0.062992
Sample.txt:131,007,0.031712
Sample.txt:131,001,0.021619
Sample.txt:166,001,0.978315
Sample.txt:166,000,0.021685
Sample.txt:201,000,0.667439
Sample.txt:201,005,0.165282
Sample.txt:201,002,0.102485
Sample.txt:201,001,0.064794
Sample.txt:236,000,0.898943
Sample.txt:236,001,0.101057
Sample.txt:271,001,0.817444
Sample.txt:271,000,0.182556
Sample.txt:306,000,0.425971
Sample.txt:306,004,0.360149
Sample.txt:306,001,0.096129
Sample.txt:306,007,0.054017
Sample.txt:306,005,0.040351
Sample.txt:306,003,0.023383
Sample.txt:313,004,0.731165
Sample.txt:313,000,0.14162
Sample.txt:313,002,0.127215
Sample.txt:348,005,1.0
Sample.txt:383,002,1.0
Sample.txt:418,002,0.408338
Sample.txt:418,001,0.265741
Sample.txt:418,000,0.247312
Sample.txt:418,007,0.078609
Sample.txt:453,006,0.72608
Sample.txt:453,000,0.27392
Sample.txt:488,000,0.595883
Sample.txt:488,001,0.203188
Sample.txt:488,008,0.111551
Sample.txt:488,004,0.055043
Sample.txt:488,007,0.034335
Sample.txt:523,000,0.608438
Sample.txt:523,001,0.197027
Sample.txt:523,007,0.122669
Sample.txt:523,004,0.071866
Sample.txt:558,008,0.8138
Sample.txt:558,000,0.1862
Sample.txt:593,003,1.0
Sample.txt:29,006,0.490295
Sample.txt:29,005,0.244563
Sample.txt:29,004,0.112882
Sample.txt:29,008,0.09304
Sample.txt:29,009,0.05922
Sample.txt:64,007,1.0
Sample.txt:99,005,0.308754
Sample.txt:99,008,0.215053
Sample.txt:99,000,0.159232
Sample.txt:99,001,0.125916
Sample.txt:99,004,0.119846
Sample.txt:99,002,0.0712
Sample.txt:134,000,1.0
Sample.txt:169,001,1.0
Sample.txt:204,000,1.0
Sample.txt:239,000,0.817902
Sample.txt:239,009,0.182098
Sample.txt:274,001,0.869411
Sample.txt:274,000,0.130589
Sample.txt:316,000,1.0
Sample.txt:351,000,0.683249
Sample.txt:351,007,0.171026
Sample.txt:351,002,0.095727
Sample.txt:351,005,0.049997
Sample.txt:386,005,1.0
Sample.txt:421,002,0.709215
Sample.txt:421,001,0.152809
Sample.txt:421,004,0.066332
Sample.txt:421,007,0.037138
Sample.txt:421,005,0.027659
Sample.txt:421,000,0.006848
Sample.txt:456,006,1.0
