topic,term,weight
000,water,0.015159466
000,national,0.009962683
000,literature,0.0065716174
000,language,0.0077291075
000,ballet,0.005074686
000,film,0.0051344717
000,write,0.0053789783
000,epic,0.0055158692
000,work,0.006526686
000,acid,0.004728236
001,cognitive,0.047726687
001,human,0.01886926
001,cognition,0.011070755
001,brain,0.010441638
001,mental,0.0077644796
001,style,0.007686802
001,process,0.012177119
001,load,0.006031474
001,psychology,0.0060308753
001,problem,0.006448687
002,education,0.04511804
002,learn,0.031044718
002,chemistry,0.030787047
002,student,0.021769801
002,school,0.017599756
002,teach,0.017328158
002,university,0.01314502
002,child,0.012396375
002,educational,0.011978968
002,digital,0.010707198
003,volcano,0.041923072
003,island,0.031448286
003,eruption,0.02779687
003,lava,0.015879577
003,caldera,0.013021256
003,stratovolcano,0.011983229
003,crater,0.011148815
003,km,0.011553161
003,volcanic,0.010884032
003,flow,0.011261845
004,earth,0.06536229
004,earth's,0.021959905
004,religion,0.013968411
004,rotation,0.012850395
004,time,0.012726885
004,surface,0.009789883
004,worship,0.009099269
004,day,0.00935542
004,million,0.009261839
004,fiction,0.008608476
005,study,0.041924268
005,human,0.04033317
005,anthropology,0.038023323
005,field,0.019942315
005,social,0.019499088
005,research,0.015029462
005,biological,0.013108874
005,society,0.012386449
005,culture,0.012653336
005,development,0.011532661
006,chemical,0.067200415
006,chemistry,0.046551183
006,reaction,0.024737226
006,compound,0.02345892
006,element,0.018873055
006,physic,0.016719269
006,atom,0.01223891
006,molecular,0.012140022
006,product,0.012122807
006,molecule,0.008918329
007,bike,0.057176992
007,bicycle,0.051047217
007,cycle,0.045001958
007,cyclist,0.020361582
007,road,0.015842915
007,shop,0.015597686
007,bus,0.015202624
007,lane,0.012822984
007,vehicle,0.010456663
007,provide,0.010771724
008,model,0.09146869
008,system,0.03148682
008,process,0.025982026
008,size,0.022300452
008,chrysler,0.019016914
008,full,0.01898152
008,generation,0.017568095
008,series,0.016867915
008,year,0.020276716
008,chevrolet,0.016132075
009,function,0.075370654
009,calculus,0.020073442
009,equation,0.015726756
009,continuous,0.013939478
009,mathematics,0.012397723
009,theory,0.014629435
009,continuity,0.012268061
009,space,0.012681759
009,system,0.020281814
009,special,0.012119631
