docname,topic,proportion
input.txt:11,006,1.0
input.txt:46,005,1.0
input.txt:81,006,1.0
input.txt:116,012,1.0
input.txt:151,002,1.0
input.txt:186,004,1.0
input.txt:221,000,1.0
input.txt:256,000,1.0
input.txt:291,000,1.0
input.txt:326,008,1.0
input.txt:361,003,1.0
input.txt:396,008,1.0
input.txt:431,007,1.0
input.txt:466,002,1.0
input.txt:497,005,1.0
input.txt:532,002,1.0
input.txt:567,001,1.0
input.txt:602,001,1.0
input.txt:637,006,1.0
input.txt:672,001,1.0
input.txt:707,011,1.0
input.txt:742,003,1.0
input.txt:777,014,1.0
input.txt:812,007,1.0
input.txt:847,003,1.0
input.txt:882,000,1.0
input.txt:34,006,1.0
input.txt:69,000,1.0
input.txt:104,007,1.0
input.txt:139,002,1.0
input.txt:174,007,1.0
input.txt:209,003,1.0
input.txt:244,000,1.0
input.txt:279,002,1.0
input.txt:314,008,1.0
input.txt:349,003,1.0
input.txt:384,010,1.0
input.txt:419,010,1.0
input.txt:454,007,1.0
input.txt:485,000,1.0
input.txt:520,005,1.0
input.txt:555,000,1.0
input.txt:590,001,1.0
input.txt:625,003,1.0
input.txt:660,006,1.0
input.txt:695,011,1.0
input.txt:730,011,1.0
input.txt:765,011,1.0
input.txt:800,007,1.0
input.txt:835,000,1.0
input.txt:870,000,1.0
input.txt:905,004,1.0
input.txt:3,005,1.0
input.txt:38,008,1.0
input.txt:73,003,1.0
input.txt:108,005,1.0
input.txt:143,000,0.511375
input.txt:143,001,0.488625
input.txt:178,001,1.0
input.txt:213,000,1.0
input.txt:248,004,1.0
input.txt:283,000,1.0
input.txt:318,008,1.0
input.txt:353,010,1.0
input.txt:388,010,1.0
input.txt:423,003,1.0
input.txt:458,002,1.0
input.txt:489,004,1.0
input.txt:524,002,1.0
input.txt:559,008,1.0
input.txt:594,001,1.0
input.txt:629,001,1.0
input.txt:664,001,1.0
input.txt:699,006,1.0
input.txt:734,011,1.0
input.txt:769,003,1.0
input.txt:804,001,1.0
input.txt:839,000,1.0
input.txt:874,007,1.0
input.txt:909,004,1.0
input.txt:19,006,1.0
input.txt:54,003,1.0
input.txt:89,005,1.0
input.txt:124,005,1.0
input.txt:159,002,1.0
input.txt:194,003,1.0
input.txt:229,000,1.0
input.txt:264,000,1.0
input.txt:299,000,1.0
input.txt:334,009,1.0
input.txt:369,003,1.0
input.txt:404,010,1.0
input.txt:439,002,1.0
input.txt:505,000,1.0
input.txt:540,002,1.0
input.txt:575,001,1.0
input.txt:610,001,1.0
input.txt:645,006,1.0
input.txt:680,007,1.0
input.txt:715,011,1.0
input.txt:750,012,1.0
input.txt:785,006,1.0
input.txt:820,011,1.0
input.txt:855,006,1.0
input.txt:890,000,1.0
input.txt:6,005,1.0
input.txt:41,003,1.0
input.txt:76,009,1.0
input.txt:111,004,1.0
input.txt:146,002,1.0
input.txt:181,004,1.0
input.txt:216,000,1.0
input.txt:251,000,1.0
input.txt:286,000,1.0
input.txt:321,008,1.0
input.txt:356,013,1.0
input.txt:391,010,1.0
input.txt:426,003,1.0
input.txt:461,011,1.0
input.txt:492,002,1.0
input.txt:527,002,1.0
input.txt:562,000,1.0
input.txt:597,001,1.0
input.txt:632,001,1.0
input.txt:667,001,1.0
input.txt:702,011,1.0
input.txt:737,006,1.0
input.txt:772,006,1.0
input.txt:807,011,1.0
input.txt:842,000,1.0
input.txt:877,000,1.0
input.txt:9,005,1.0
input.txt:44,008,1.0
input.txt:79,006,1.0
input.txt:114,004,1.0
input.txt:149,002,1.0
input.txt:184,006,1.0
input.txt:219,006,1.0
input.txt:254,006,1.0
input.txt:289,000,1.0
input.txt:324,008,1.0
input.txt:359,013,1.0
input.txt:394,010,1.0
input.txt:429,000,1.0
input.txt:464,002,1.0
input.txt:495,009,1.0
input.txt:530,006,1.0
input.txt:565,001,1.0
input.txt:600,001,1.0
input.txt:635,001,1.0
input.txt:670,001,1.0
input.txt:705,007,1.0
input.txt:740,005,1.0
input.txt:775,011,1.0
input.txt:810,005,1.0
input.txt:845,000,1.0
input.txt:880,000,1.0
input.txt:31,008,1.0
input.txt:66,003,1.0
input.txt:101,005,1.0
input.txt:136,002,1.0
input.txt:171,002,1.0
input.txt:206,003,1.0
input.txt:241,009,1.0
input.txt:276,000,1.0
